Largest_city,Population
Paderborn,309380
Recklinghausen,612801
Remscheid,111770
Rhein-Erft-Kreis,471891
Rheinisch-Bergischer Kreis,283429
Rhein-Kreis Neuss,452496
Rhein-Sieg-Kreis,600732
Siegen-Wittgenstein,274342
Soest,302298
Solingen,158957
Städteregion Aachen,556673
Steinfurt,450176
Unna,393063
Viersen,298761
Warendorf,278176
Wesel,460433
Wuppertal,354572
Ahrweiler,128146
Altenkirchen (Westerwald),129261
Alzey-Worms,131330
Bad Dürkheim,133206
Bad Kreuznach,159402
Bernkastel-Wittlich,113194
Birkenfeld,80849
Bitburg-Prüm,100959
Cochem-Zell,61735
Donnersbergkreis,75569
Frankenthal (Pfalz),48773
Germersheim,129313
Kaiserslautern,106853
Kaiserslautern Stadt,99292
Koblenz,113638
Kusel,69949
Landau in der Pfalz,46919
Ludwigshafen am Rhein,172145
Mainz,217556
Mainz-Bingen,212420
Mayen-Koblenz,215446
Neustadt an der Weinstraße,53491
Neuwied,184390
Pirmasens,40054
Rhein-Hunsrück-Kreis,103767
Rhein-Lahn-Kreis,122724
Rhein-Pfalz-Kreis,155050
Speyer,50565
Südliche Weinstraße,111279
Südwestpfalz,94819
Trier,110570
Trier-Saarburg,151167
Vulkaneifel,60882
Westerwaldkreis,203831
Worms,83850
Zweibrücken,34091
Merzig-Wadern,103426
Neunkirchen,130847
Regionalverband Saarbrücken,327284
Saarlouis,193661
Saarpfalz-Kreis,140960
St. Wendel,86170
Bautzen,296290
Chemnitz,243105
Dresden,555351
Erzgebirgskreis,328695
Görlitz,248273
Leipzig,258214
Leipzig Stadt,601866
Meißen,239344
Mittelsachsen,299329
Nordsachsen,197529
Sächsische Schweiz-Osterzgebirge,244009
Vogtlandkreis,221376
Zwickau,309621
Altmarkkreis Salzwedel,81986
Anhalt-Bitterfeld,155900
Börde,170106
Burgenlandkreis,176333
Dessau-Roßlau,78731
Halle (Saale),238061
Harz,209117
Jerichower Land,89118
Magdeburg,236188
Mansfeld-Südharz,132317
Saalekreis,182814
Salzlandkreis,185495
Stendal,109746
Wittenberg,123341
Dithmarschen,133969
Flensburg,91113
Herzogtum Lauenburg,200819
Kiel,246243
Lübeck,216277
Neumünster,79496
Nordfriesland,167560
Ostholstein,202014
Pinneberg,318326
Plön,129687
Rendsburg-Eckernförde,276053
Schleswig-Flensburg,203799
Segeberg,280400
Steinburg,130843
Stormarn,245406
Altenburger Land,87807
Eichsfeld,99324
Erfurt,213227
Gera,91368
Gotha,133825
Greiz,96102
Hildburghausen,62089
Ilm-Kreis,105367
Jena,110502
Kyffhäuserkreis,72964
Nordhausen,81687
Saale-Holzland-Kreis,82513
Saale-Orla-Kreis,79030
Saalfeld-Rudolstadt,100969
Schmalkalden-Meiningen,123404
Sömmerda,68717
Sonneberg,56504
Suhl,36054
Unstrut-Hainich-Kreis,101269
Wartburgkreis,158900
Weimar,65138
Weimarer Land,82103
